%E,N(m),G(m/s2):
208.00,-122.912930651758,-51.931080084752
209.00,-124.246986773293,-50.625423656344
210.00,-125.595145678578,-49.703336163815
211.00,-126.715094124287,-50.030179536188
212.00,-127.809245570014,-51.242866796611
213.00,-128.960000304954,-52.712631398327
214.00,-130.152062740648,-53.829217681238
215.00,-131.723524728206,-55.222238579021
216.00,-133.206191526312,-56.709416835248
217.00,-134.705006728719,-58.180318935672
218.00,-135.400212547201,-59.912696872034
219.00,-134.671575959696,-62.129345957432
220.00,-133.404331089810,-63.803887817090
221.00,-132.589044849330,-64.638405316724
222.00,-131.362293140367,-65.716764265467
223.00,-129.642655976924,-67.293879502395
224.00,-128.608719388830,-68.237794292935
225.00,-126.648802609764,-69.503958051531
226.00,-124.878233717445,-70.633155021750
227.00,-123.486117803748,-71.487433115001
228.00,-122.131213788838,-72.399580519843
229.00,-121.250589665559,-73.164833592107
230.00,-120.481746162036,-73.693975140468
231.00,-119.892356198878,-74.071625072717
232.00,-118.557433365554,-75.376395348863
233.00,-117.046278966057,-76.472231479553
234.00,-115.255418597548,-76.998789724146
235.00,-113.341696180065,-76.134112611679
236.00,-112.045101252509,-74.791247749424
237.00,-111.076523859906,-73.476091632335
238.00,-110.024432397755,-71.934161672929
239.00,-108.811997566951,-69.940560352329
240.00,-108.054380199822,-68.493565638171
241.00,-107.078391630566,-66.374157523360
242.00,-106.184420242849,-64.735481349619
243.00,-105.434765711004,-63.025960209846
244.00,-105.802949121788,-60.485838410837
245.00,-106.597704828596,-59.631745630393
246.00,-107.900114602321,-59.118200324402
247.00,-110.158315091231,-58.530854603100
248.00,-111.469346547629,-58.039736979373
249.00,-112.990520989529,-57.444920961526
250.00,-113.867305111202,-57.124982350080
251.00,-115.172958705660,-56.619741129197
252.00,-117.181147360017,-56.005592671161
253.00,-118.512523988298,-55.572653560351
254.00,-119.550951196636,-55.040882891647
255.00,-121.498248048742,-54.254730889946
256.00,-123.039775331910,-53.714849965088
257.00,-124.824737206700,-53.168630641014
258.00,-125.706831085662,-51.262873471620
259.00,-125.108067957578,-49.494844297400
260.00,-124.513576891676,-48.227334781632
261.00,-123.527356255588,-46.373320526845
262.00,-122.760270725999,-44.931322757057
263.00,-122.421793945459,-43.814835148462
264.00,-122.101679606338,-42.213178322651
265.00,-121.831178112527,-40.130672874436
266.00,-121.450463997825,-38.783432449394
267.00,-120.632991434912,-37.105283751176
268.00,-119.738165769844,-35.205471384353
269.00,-119.087161789610,-33.707482200314
270.00,-118.694839301603,-32.608758314838
271.00,-118.083028355261,-30.599856284889
272.00,-117.773041742296,-28.522861268096
273.00,-117.466067229416,-27.397304623785
274.00,-116.746605008729,-25.424394561718
275.00,-116.172104731577,-24.147699832524
276.00,-115.598975202739,-22.618222692795
277.00,-115.154482105256,-21.046534535409
278.00,-114.917194798799,-19.195011060365
279.00,-114.579314166181,-17.122371034190
280.00,-114.340571809534,-15.271034616468
281.00,-114.026108822384,-13.668258647253
282.00,-113.217223622785,-10.987642163332
283.00,-112.586634634021,-9.230712463061
284.00,-112.263300846482,-8.109745749485
285.00,-111.984076179690,-6.976985979469
286.00,-111.425372806789,-4.711529075100
287.00,-110.917576263451,-2.673848366408
288.00,-110.338470428317,-1.146624018288
289.00,-109.828655066613,0.890552531982
290.00,-109.296855421582,2.679863455771
291.00,-108.846823929597,4.005560124026
292.00,-108.299392622180,5.790150667569
293.00,-107.676663679942,7.549881643867
294.00,-107.170335492037,9.102753030657
295.00,-106.989591864525,10.960648664313
296.00,-106.655173218975,12.797115003224
297.00,-106.438746773906,13.705008556999
298.00,-105.958818922981,15.749432499802
299.00,-105.343428624464,18.480969572677
300.00,-104.850750079954,20.522358279362
301.00,-104.604779224119,21.900581170653
302.00,-104.355610739910,23.514797031142
303.00,-104.046619004724,25.355712170966
304.00,-103.696430316312,27.426308192044
305.00,-103.497699426192,28.575924277711
306.00,-103.070365672376,30.631985041125
307.00,-102.549397405684,32.666338025516
308.00,-102.245960597632,34.271237985419
309.00,-102.046006746415,35.656885291692
310.00,-101.825771157465,37.275302439135
311.00,-101.625738775457,39.600045756277
312.00,-101.516376473444,41.463506067457
313.00,-101.390711709603,43.091998052364
314.00,-101.278917828525,44.721501015212
315.00,-100.728049708362,46.988875875845
316.00,-100.378837840138,48.584441245509
317.00,-100.305576241909,49.982523052209
318.00,-100.277350018168,51.615612473542
319.00,-99.880262282173,53.677728214698
320.00,-98.778192529410,54.541118196135
321.00,-96.935984006842,54.842302863444
322.00,-94.839026729133,54.729297662403
323.00,-92.279490038476,54.538117885860
324.00,-91.112957210592,54.555789121827
325.00,-89.246633129977,54.520027822058
326.00,-87.147294040055,54.467345894185
327.00,-85.284712460219,54.343918575887
328.00,-83.653594421983,54.258879037336
329.00,-82.030135377749,54.079551098982
330.00,-79.714633327051,53.791636706047
331.00,-78.111210254291,54.747397604067
332.00,-77.508065675214,56.265289034476
333.00,-77.260892303928,57.643296771946
334.00,-77.118993948245,59.738497205474
335.00,-77.196502907920,61.369990429164
336.00,-77.206412954479,62.536615005490
337.00,-77.128193701641,64.168074329612
338.00,-76.970299023913,66.262130028667
339.00,-76.988768617315,67.428650489366
340.00,-77.019986265900,68.361461600754
341.00,-77.019986265900,68.361461600754
